"name","cipn"
"1 Bits","001B"
"2 Bits","002B"
"4 Bits","004B"
"8 Bits","008B"
"16 Bits","016B"
"24 Bits","024B"
"32 Bits","032B"
"48 Bits","048B"
"64 Bits","064B"
"96 Bits","096B"
"128 Bits","128B"
"512 Bits","512B"
"1 Kibibits","001K"
"2 Kibibits","002K"
"4 Kibibits","004K"
"8 Kibibits","008K"
"16 Kibibits","016K"
"24 Kibibits","024K"
"32 Kibibits","032K"
"48 Kibibits","048K"
"64 Kibibits","064K"
"96 Kibibits","096K"
"128 Kibibits","128K"
"512 Kibibits","512K"
"1 Mebibits","001M"
"2 Mebibits","002M"
"4 Mebibits","004M"
"8 Mebibits","008M"
"16 Mebibits","016M"
"24 Mebibits","024M"
"32 Mebibits","032M"
"48 Mebibits","048M"
"64 Mebibits","064M"
"96 Mebibits","096M"
"128 Mebibits","128M"
"512 Mebibits","512M"
"1 Gibits","001G"
"2 Gibits","002G"
"4 Gibits","004G"
"8 Gibits","008G"
"16 Gibits","016G"
"24 Gibits","024G"
"32 Gibits","032G"
"48 Gibits","048G"
"64 Gibits","064G"
"96 Gibits","096G"
"128 Gibits","128G"
"512 Gibits","512G"
"1 Tebibits","001T"
"2 Tebibits","002T"
"4 Tebibits","004T"
"8 Tebibits","008T"
"16 Tebibits","016T"
"24 Tebibits","024T"
"32 Tebibits","032T"
"48 Tebibits","048T"
"64 Tebibits","064T"
"96 Tebibits","096T"
"128 Tebibits","128T"
"512 Tebibits","512T"
